"G","R","c1","c2","c1c2_ratio","alpha","beta","gamma_sq","total_cost","beta_estimate","beta_variance","beta_bias","mse","coverage"
30,79,20,4,5,0,1.5,1,9960,1.5439119017883,0.135075814022179,0.0439119017882961,0.135653311000622,93
30,79,20,4,5,2,1.5,1,9960,1.4408873967879,0.149237887631367,0.0591126032121017,0.151239808613565,90
30,79,20,4,5,4,1.5,1,9960,1.45721415903075,0.154795476457093,0.0427858409692479,0.155078149879968,93
30,79,20,4,5,6,1.5,1,9960,1.51654757891113,0.155371955856426,0.0165475789111329,0.154092058665682,93
30,79,20,4,5,8,1.5,1,9960,1.50292348897471,0.16930308731487,0.00292348897471029,0.167618603229507,88
30,79,20,4,5,10,1.5,1,9960,1.50527190816299,0.146828413645037,0.00527190816299283,0.145387922524266,92
