"G","R","c1","c2","c1c2_ratio","alpha","beta","gamma_sq","sigma_sq","total_cost","beta_estimate","beta_variance","beta_bias","mse","coverage"
30,79,20,4,5,0,1.5,0.111,1,9960,1.47639507660041,0.0184819148500086,0.0236049233995939,0.0188542881102092,95
30,79,20,4,5,0,1.5,1,1,9960,1.48454406824314,0.143376399086322,0.0154559317568572,0.142181520921931,96
30,79,20,4,5,0,1.5,10,1,9960,1.35019885606507,1.50121286302564,0.14980114393493,1.5086411171196,91
